date,member_id,cash_collateral,gov_bond_collateral,haircut_pct,collateral_value_post_haircut
2024-02-19,MBR_001,4605245.28,2966509.21,0.0162,7523697.04
2024-02-20,MBR_001,4534927.2,2230446.33,0.0173,6726786.81
2024-02-21,MBR_001,3677895.68,1908930.36,0.0285,5532421.53
2024-02-22,MBR_001,3702725.98,2626900.06,0.043,6216669.33
2024-02-23,MBR_001,4136388.79,2646247.57,0.0435,6667524.59
2024-02-26,MBR_001,4704749.23,2212954.36,0.0326,6845561.28
2024-02-27,MBR_001,4210768.92,1938836.08,0.018,6114705.95
2024-02-28,MBR_001,3657758.65,2083752.51,0.0483,5640865.91
2024-02-29,MBR_001,4822012.01,2934546.72,0.0439,7627732.13
2024-03-01,MBR_001,4839749.35,2035504.33,0.0332,6807674.93
2024-03-04,MBR_001,4071318.56,2041696.03,0.0155,6081368.31
2024-03-05,MBR_001,4767583.09,2672657.99,0.0383,7337878.28
2024-03-06,MBR_001,4799507.81,2036147.42,0.0497,6734458.71
2024-03-07,MBR_001,4233744.73,2256100.4,0.0475,6382680.36
2024-03-08,MBR_001,3907242.32,2985482.47,0.0165,6843464.33
2024-03-11,MBR_001,4388299.38,2647243.46,0.0233,6973862.07
2024-03-12,MBR_001,4403220.05,3099812.48,0.0249,7425847.2
2024-03-13,MBR_001,3707168.71,2417154.11,0.0141,6090240.94
2024-03-14,MBR_001,4469981.28,2815953.92,0.0114,7253833.32
2024-03-15,MBR_001,4714317.47,2739514.61,0.0278,7377673.58
2024-03-18,MBR_001,3546577.57,2022090.7,0.0282,5511645.31
2024-03-19,MBR_001,4688464.08,1833768.52,0.0379,6452732.78
2024-03-20,MBR_001,3562775.08,2521964.14,0.0214,6030769.19
2024-03-21,MBR_001,4641570.81,1987927.27,0.044,6542029.28
2024-03-22,MBR_001,4610746.42,3150285.42,0.0319,7660537.74
2024-03-25,MBR_001,3850451.46,2820514.39,0.0314,6582401.7
2024-03-26,MBR_001,3569126.33,2025205.72,0.0196,5554638.02
2024-03-27,MBR_001,4516819.18,3033352.04,0.0167,7499514.24
2024-03-28,MBR_001,4177097.39,2662485.36,0.0436,6723498.39
2024-03-29,MBR_001,4778686.16,2432154.38,0.0169,7169737.13
2024-04-01,MBR_001,3815100.41,2676671.95,0.0301,6411204.53
2024-04-02,MBR_001,3625134.2,3117263.45,0.0364,6628929.26
2024-04-03,MBR_001,4687702.13,2298677.99,0.0293,6919028.86
2024-04-04,MBR_001,4027641.85,2040984.02,0.0467,5973311.92
2024-04-05,MBR_001,4768363.18,2565361.38,0.0237,7272925.49
2024-04-08,MBR_001,3951392.23,1954563.04,0.0381,5831486.42
2024-04-09,MBR_001,3601631.15,2625721.69,0.0401,6122061.4
2024-04-10,MBR_001,3546163.52,2654311.92,0.0352,6107043.66
2024-04-11,MBR_001,3661912.9,2794578.21,0.0184,6405070.86
2024-04-12,MBR_001,4168531.04,2146565.02,0.0143,6284400.18
2024-04-15,MBR_001,4652839.64,2722421.67,0.0418,7261464.09
2024-04-16,MBR_001,4175859.34,2160035.81,0.0376,6254677.8
2024-04-17,MBR_001,4045025.74,2741453.16,0.0154,6744260.52
2024-04-18,MBR_001,4033181.51,2962304.44,0.0205,6934758.71
2024-04-19,MBR_001,3827102.44,2316384.17,0.0258,6083723.89
2024-04-22,MBR_001,3719374.87,2423097.82,0.0201,6093768.42
2024-04-23,MBR_001,4941279.64,2393972.89,0.0203,7286654.87
2024-04-24,MBR_001,3610284.93,2914624.6,0.0278,6443882.97
2024-04-25,MBR_001,3869065.75,2095079.48,0.0388,5882856.15
2024-04-26,MBR_001,4338758.87,2375272.07,0.0151,6678164.33
2024-04-29,MBR_001,3673873.47,2287964.24,0.0141,5929577.42
2024-04-30,MBR_001,3548593.51,2891802.0,0.0168,6391813.23
2024-05-01,MBR_001,4645771.04,2216532.35,0.0289,6798245.6
2024-05-02,MBR_001,4667181.66,2622904.12,0.0285,7215333.01
2024-05-03,MBR_001,3937069.85,1850703.3,0.0395,5714670.37
2024-05-06,MBR_001,4698787.69,2155379.46,0.0214,6808042.03
2024-05-07,MBR_001,4705465.16,1788892.43,0.0116,6473606.44
2024-05-08,MBR_001,4730769.14,2307282.48,0.025,6980369.55
2024-05-09,MBR_001,4014337.29,2167089.58,0.0373,6100594.42
2024-05-10,MBR_001,3708199.12,3004376.53,0.0497,6563258.14
2024-05-13,MBR_001,4675950.13,2076608.68,0.0402,6669079.14
2024-05-14,MBR_001,4733166.71,1930995.22,0.0345,6597542.59
2024-05-15,MBR_001,3732160.1,2690335.52,0.0168,6377297.98
2024-05-16,MBR_001,3692764.43,2278750.39,0.0228,5919559.31
2024-05-17,MBR_001,4388485.27,2511220.86,0.0421,6793983.73
2024-05-20,MBR_001,3986014.52,1866512.02,0.0388,5780105.88
2024-05-21,MBR_001,3973107.97,2426257.57,0.0154,6362001.17
2024-05-22,MBR_001,3733988.57,2352571.41,0.0444,5982105.81
2024-05-23,MBR_001,3660647.55,2448127.38,0.0147,6072787.46
2024-05-24,MBR_001,3989607.69,2968183.07,0.0439,6827487.52
2024-05-27,MBR_001,3902072.19,3021177.05,0.0335,6822039.81
2024-05-28,MBR_001,4317202.1,3146190.75,0.0351,7352961.56
2024-05-29,MBR_001,4126801.53,2446186.12,0.0491,6452879.91
2024-05-30,MBR_001,4180917.01,2120935.9,0.0295,6239285.3
2024-05-31,MBR_001,3841572.59,2528883.52,0.0444,6258173.68
2024-06-03,MBR_001,3610361.91,2040383.93,0.0398,5569538.56
2024-06-04,MBR_001,3797952.16,2060162.43,0.0336,5788893.13
2024-06-05,MBR_001,4238572.79,1813702.37,0.015,6025069.63
2024-06-06,MBR_001,4629714.03,2397017.72,0.0207,6977113.48
2024-06-07,MBR_001,3913203.75,2729407.18,0.037,6541622.86
2024-06-10,MBR_001,4538917.66,2690361.37,0.0292,7150720.49
2024-06-11,MBR_001,4114613.96,2152056.39,0.0189,6225996.49
2024-06-12,MBR_001,4823011.6,1821482.69,0.0373,6576552.98
2024-06-13,MBR_001,3858803.2,2421067.05,0.0478,6164143.25
2024-06-14,MBR_001,4895186.97,2119796.25,0.0119,6989757.65
2024-06-17,MBR_001,4912676.07,2716325.85,0.0432,7511656.64
2024-06-18,MBR_001,4712859.76,2403219.54,0.0341,7034129.52
2024-06-19,MBR_001,3852134.34,2112927.81,0.0309,5899772.68
2024-06-20,MBR_001,4774390.47,2327544.17,0.0224,7049797.64
2024-06-21,MBR_001,4219051.09,1932041.73,0.0311,6091006.32
2024-06-24,MBR_001,4547124.86,2440627.36,0.0417,6885978.06
2024-06-25,MBR_001,3826886.79,2813793.08,0.043,6519686.76
2024-06-26,MBR_001,4560124.39,2836810.42,0.0434,7273817.24
2024-06-27,MBR_001,3605747.9,2426479.87,0.0331,5951911.28
2024-06-28,MBR_001,4060221.54,2390034.56,0.0475,6336729.46
2024-07-01,MBR_001,3579295.18,3174332.31,0.0453,6609830.24
2024-07-02,MBR_001,3762141.92,2428184.51,0.0429,6086157.32
2024-07-03,MBR_001,4020564.12,2568570.75,0.0254,6523893.16
2024-07-04,MBR_001,4842820.46,2333797.31,0.028,7111271.45
2024-07-05,MBR_001,4150705.14,2518277.68,0.0471,6550371.94
2024-07-08,MBR_001,4380511.28,1795319.5,0.0331,6116405.7
2024-07-09,MBR_001,3611469.24,2101610.47,0.0476,5613043.05
2024-07-10,MBR_001,3552062.37,3161087.79,0.0153,6664785.52
2024-07-11,MBR_001,3926396.36,2289791.74,0.043,6117727.05
2024-07-12,MBR_001,4829992.9,2861463.57,0.021,7631365.74
2024-07-15,MBR_001,4759907.39,2399009.3,0.0126,7128689.18
2024-07-16,MBR_001,4242750.03,1835734.33,0.0265,6029837.4
2024-07-17,MBR_001,4310551.81,2014350.2,0.0122,6300326.94
2024-07-18,MBR_001,4820833.83,2708268.55,0.0268,7456520.78
2024-07-19,MBR_001,4607390.87,2250776.62,0.0405,6767011.04
2024-07-22,MBR_001,4372721.46,2191016.37,0.0401,6475878.07
2024-07-23,MBR_001,4108504.69,2663653.8,0.0335,6682926.1
2024-07-24,MBR_001,4282886.97,2874686.04,0.0156,7112727.91
2024-07-25,MBR_001,3596958.27,1840037.19,0.0286,5384370.39
2024-07-26,MBR_001,3756571.03,2804945.19,0.0243,6493356.06
2024-07-29,MBR_001,4155633.39,1968771.21,0.028,6069279.01
2024-07-30,MBR_001,4754844.23,2633874.82,0.0112,7359219.65
2024-07-31,MBR_001,4373419.22,2879860.33,0.0339,7155652.28
2024-08-01,MBR_001,4046645.68,2783697.43,0.0493,6693106.83
2024-08-02,MBR_001,4200922.76,1853664.03,0.0426,5975620.71
2024-08-05,MBR_001,4457456.03,2696733.23,0.0221,7094591.46
2024-08-06,MBR_001,4275506.31,2657409.41,0.0461,6810409.15
2024-08-07,MBR_001,3968960.02,1979092.47,0.0137,5920938.93
2024-08-08,MBR_001,3602889.84,2052252.51,0.0268,5600141.98
2024-08-09,MBR_001,3881235.0,2928361.11,0.0176,6758056.95
2024-08-12,MBR_001,4024676.44,3020426.12,0.0424,6917036.49
2024-08-13,MBR_001,4022425.34,2781208.19,0.0194,6749678.09
2024-08-14,MBR_001,4884945.38,3140296.8,0.0278,7937941.92
2024-08-15,MBR_001,3555764.5,3048510.91,0.0105,6572266.05
2024-08-16,MBR_001,3736437.57,2989611.2,0.0464,6587330.81
2024-08-19,MBR_001,4752171.01,2135738.49,0.0487,6783899.04
2024-08-20,MBR_001,4542268.86,2170118.51,0.0149,6680052.6
2024-08-21,MBR_001,3790807.2,1857651.82,0.0442,5566350.8
2024-08-22,MBR_001,4683397.56,3015165.21,0.0495,7549312.1
2024-08-23,MBR_001,4475443.66,1816143.14,0.0193,6256535.23
2024-08-26,MBR_001,3750319.28,2595234.22,0.0291,6270032.18
2024-08-27,MBR_001,4858116.5,2324450.18,0.0124,7153743.5
2024-08-28,MBR_001,3572111.34,2916495.77,0.0354,6385363.15
2024-08-29,MBR_001,3808392.15,3052157.61,0.0324,6761659.85
2024-08-30,MBR_001,4398816.66,3072197.54,0.012,7434147.83
2024-09-02,MBR_001,4733296.23,3153416.63,0.0211,7820175.77
2024-09-03,MBR_001,4304232.11,2368724.22,0.0127,6642873.54
2024-09-04,MBR_001,4252220.13,3036745.01,0.0163,7239466.2
2024-09-05,MBR_001,3841660.39,2543023.77,0.0118,6354676.48
2024-09-06,MBR_001,3886524.41,2409838.69,0.0407,6198282.66
2024-09-09,MBR_001,3935960.12,1998611.06,0.013,5908589.24
2024-09-10,MBR_001,4742795.14,2859407.45,0.019,7547873.85
2024-09-11,MBR_001,4106645.25,2369076.86,0.0412,6378116.14
2024-09-12,MBR_001,4046826.4,2076653.03,0.047,6025876.74
2024-09-13,MBR_001,4269166.92,2475626.34,0.0402,6645273.08
2024-09-16,MBR_001,4184692.43,2765384.21,0.0173,6902235.49
2024-09-17,MBR_001,3977901.37,2440328.75,0.0354,6331842.48
2024-09-18,MBR_001,4512580.07,1884603.68,0.0145,6369857.0
2024-09-19,MBR_001,4850626.01,2952977.87,0.0148,7759899.81
2024-09-20,MBR_001,3944199.21,2036747.33,0.034,5911697.14
2024-09-23,MBR_001,3936530.38,2561768.04,0.0134,6463970.72
2024-09-24,MBR_001,3578004.2,2070246.42,0.0293,5587592.4
2024-09-25,MBR_001,4480149.57,2878310.7,0.0236,7290532.13
2024-09-26,MBR_001,4115845.14,2636862.81,0.0479,6626402.23
2024-09-27,MBR_001,3545132.74,2233721.64,0.039,5691739.24
2024-09-30,MBR_001,4825676.8,3012051.27,0.0249,7762727.99
2024-10-01,MBR_001,3582308.67,1771013.35,0.0162,5324631.6
2024-10-02,MBR_001,3575408.81,1790727.77,0.017,5335694.21
2024-10-03,MBR_001,4133408.9,2548287.62,0.0454,6566004.26
2024-10-04,MBR_001,4209255.57,2741302.13,0.042,6835423.01
2024-10-07,MBR_001,3995791.14,2790310.25,0.0377,6680906.69
2024-10-08,MBR_001,3675210.28,2915308.0,0.0253,6516760.99
2024-10-09,MBR_001,3847839.47,1990798.0,0.0474,5744273.65
2024-10-10,MBR_001,3936723.75,2866954.71,0.043,6680399.41
2024-10-11,MBR_001,4861843.18,2629601.06,0.0172,7446215.11
2024-10-14,MBR_001,3678858.62,1869579.82,0.039,5475524.82
2024-10-15,MBR_001,4669394.01,2883937.36,0.015,7510072.31
2024-10-16,MBR_001,4141940.23,1817024.47,0.0229,5917354.84
2024-10-17,MBR_001,4136287.36,2250294.05,0.0446,6286218.3
2024-10-18,MBR_001,4939843.17,2345097.64,0.0239,7228892.98
2024-10-21,MBR_001,4758892.51,1814597.61,0.0417,6497821.39
2024-10-22,MBR_001,3665879.1,2086909.13,0.0449,5659086.02
2024-10-23,MBR_001,3790346.66,2392499.65,0.0254,6122076.82
2024-10-24,MBR_001,3800107.53,2390225.03,0.0356,6105240.56
2024-10-25,MBR_001,4500305.21,1778335.72,0.0228,6238094.87
2024-10-28,MBR_001,4589203.36,2193711.62,0.0412,6692534.06
2024-10-29,MBR_001,4014233.48,2801876.54,0.0181,6765396.05
2024-10-30,MBR_001,4905986.03,2481420.93,0.0455,7274502.31
2024-10-31,MBR_001,3762544.9,2847477.51,0.0262,6535418.5
2024-11-01,MBR_001,4067575.42,2812518.49,0.0318,6790655.82
2024-11-04,MBR_001,4855615.88,1879419.42,0.0105,6715301.4
2024-11-05,MBR_001,3797964.07,2780675.77,0.0281,6500502.86
2024-11-06,MBR_001,4552668.28,3119640.52,0.0298,7579343.51
2024-11-07,MBR_001,4541750.13,1944054.58,0.0424,6403376.8
2024-11-08,MBR_001,3825543.25,3122570.71,0.0459,6804787.97
2024-11-11,MBR_001,4621841.17,2103268.95,0.0456,6629201.06
2024-11-12,MBR_001,4523047.52,2636036.86,0.0148,7120071.04
2024-11-13,MBR_001,4605600.88,2964922.65,0.0335,7471198.62
2024-11-14,MBR_001,3878516.74,1931979.89,0.0391,5734956.21
2024-11-15,MBR_001,3670288.06,2766372.77,0.037,6334305.03
2024-11-18,MBR_001,3543090.07,2485272.27,0.0311,5951070.37
2024-11-19,MBR_001,4239133.51,2054817.69,0.0152,6262717.98
2024-11-20,MBR_001,4453584.31,2760796.7,0.0268,7140391.65
2024-11-21,MBR_001,3590724.78,2985088.36,0.0181,6521783.05
2024-11-22,MBR_001,3813125.13,2448162.25,0.0476,6144754.86
2024-11-25,MBR_001,3914069.19,2217734.5,0.0281,6069485.36
2024-11-26,MBR_001,4504853.03,2985600.23,0.0142,7448057.73
2024-11-27,MBR_001,4536192.37,3141450.09,0.0394,7553869.33
2024-11-28,MBR_001,3976438.72,1947194.92,0.0162,5892089.08
2024-11-29,MBR_001,3832353.8,2238700.96,0.047,5965835.81
2024-12-02,MBR_001,3588247.71,2831085.01,0.0182,6367806.97
2024-12-03,MBR_001,3975485.59,2244535.54,0.0146,6187250.91
2024-12-04,MBR_001,4308606.15,3070371.87,0.0467,7235591.65
2024-12-05,MBR_001,4366060.83,2791037.03,0.0341,7061923.49
2024-12-06,MBR_001,4027843.06,2081885.12,0.0481,6009589.5
2024-12-09,MBR_001,3640210.98,2271297.72,0.0114,5885615.91
2024-12-10,MBR_001,4004982.61,2609174.89,0.0106,6586500.24
2024-12-11,MBR_001,3579246.43,2031030.71,0.0495,5509741.13
2024-12-12,MBR_001,3675899.09,1989767.83,0.0469,5572346.81
2024-12-13,MBR_001,4769886.73,2503058.28,0.0238,7213372.22
2024-12-16,MBR_001,4095549.52,1887707.53,0.0279,5930590.01
2024-12-17,MBR_001,3922008.89,1880566.44,0.0156,5773238.5
2024-12-18,MBR_001,4670060.73,3003422.58,0.0246,7599599.12
2024-12-19,MBR_001,4624541.58,3005545.71,0.0435,7499346.05
2024-12-20,MBR_001,3630305.48,2157587.24,0.0384,5705041.36
2024-12-23,MBR_001,4023377.43,2562092.92,0.0463,6466845.45
2024-12-24,MBR_001,3543622.26,3121263.53,0.0309,6568438.74
2024-12-25,MBR_001,4896262.04,2558921.02,0.0321,7373041.69
2024-12-26,MBR_001,4609025.63,2795558.71,0.0183,7353425.62
2024-12-27,MBR_001,4658138.55,2244579.89,0.0399,6813159.7
2024-12-30,MBR_001,3800620.52,2771689.38,0.0303,6488327.71
2024-12-31,MBR_001,3798038.42,2554407.01,0.0141,6316428.28
2025-01-01,MBR_001,4087702.13,2703930.07,0.0197,6738364.78
2025-01-02,MBR_001,4806465.17,2811414.22,0.0125,7582736.72
2025-01-03,MBR_001,4231340.75,2872726.21,0.0138,7064423.33
2025-01-06,MBR_001,3849365.87,2222517.29,0.0244,6017653.74
2025-01-07,MBR_001,3562788.36,2329533.45,0.0304,5821503.99
2025-01-08,MBR_001,4000407.26,2135143.99,0.0158,6101815.98
2025-01-09,MBR_001,4635229.07,2817024.77,0.0442,7327741.35
2025-01-10,MBR_001,3857665.93,2555553.18,0.0365,6319941.41
2025-01-13,MBR_001,4204751.8,2576055.43,0.0263,6713056.98
2025-01-14,MBR_001,3654896.36,2983711.73,0.0364,6530000.98
2025-01-15,MBR_001,3948677.67,1916355.15,0.0398,5788761.88
2025-01-16,MBR_001,4110834.87,2207541.73,0.0332,6245086.21
2025-01-17,MBR_001,4134666.92,2634767.07,0.0491,6640066.93
2025-01-20,MBR_001,3785536.96,3146339.43,0.0371,6815147.21
2025-01-21,MBR_001,3950112.91,3057726.59,0.0375,6893174.75
2025-01-22,MBR_001,3676400.48,3150491.53,0.0456,6683229.6
2025-01-23,MBR_001,4707667.2,2934251.2,0.0246,7569735.82
2025-01-24,MBR_001,3729416.98,2738610.04,0.0366,6367793.89
2025-01-27,MBR_001,3823292.53,2482995.53,0.0303,6231053.29
2025-01-28,MBR_001,4615418.42,2423812.32,0.0411,6939612.05
2025-01-29,MBR_001,4205618.97,2857569.67,0.0106,7032898.4
2025-01-30,MBR_001,4916321.99,2000686.73,0.0149,6887198.49
2025-01-31,MBR_001,4500212.3,2470457.85,0.0253,6908167.57
2025-02-03,MBR_001,4379014.33,1804514.62,0.0267,6135348.41
2025-02-04,MBR_001,4944181.54,2780672.3,0.028,7646995.01
2025-02-05,MBR_001,4256430.47,3177185.99,0.045,7290643.09
2025-02-06,MBR_001,4080431.6,2759704.36,0.0354,6742442.42
2025-02-07,MBR_001,3728291.46,3064824.17,0.0171,6740707.13
2025-02-10,MBR_001,3914376.11,2098585.97,0.039,5931117.23
2025-02-11,MBR_001,3614019.72,1837744.72,0.0218,5411701.6
2025-02-12,MBR_001,4346590.69,2324635.32,0.0111,6645422.55
2025-02-13,MBR_001,3686689.15,1943185.62,0.0121,5606362.22
2025-02-14,MBR_001,3956069.24,1820217.2,0.0131,5752441.59
2025-02-17,MBR_001,4126426.22,2577442.82,0.0485,6578863.06
2025-02-18,MBR_001,4384327.14,2748885.88,0.0419,7018034.71
2025-02-19,MBR_001,3723072.25,2386307.21,0.0229,6054733.02
2025-02-20,MBR_001,3902273.92,1903063.51,0.0345,5739681.74
2025-02-21,MBR_001,4176779.61,2308859.45,0.0481,6374582.92
2025-02-24,MBR_001,4254669.67,2419153.71,0.0463,6561816.56
2025-02-25,MBR_001,4870980.34,2035863.83,0.0195,6867144.82
2025-02-26,MBR_001,4180128.21,2285338.59,0.011,6440328.07
2025-02-27,MBR_001,4723215.87,2783457.67,0.0298,7423726.5
2025-02-28,MBR_001,4372973.44,2057244.44,0.0326,6363151.71
2025-03-03,MBR_001,3902748.07,3074405.13,0.0187,6919661.82
2025-03-04,MBR_001,4024871.28,2780122.21,0.0201,6749113.03
2025-03-05,MBR_001,4773032.4,2163652.25,0.0433,6842998.51
2025-03-06,MBR_001,4878996.8,2024051.58,0.0293,6843743.67
2025-03-07,MBR_001,3737970.12,1946860.01,0.0125,5660494.37
2025-03-10,MBR_001,4577124.96,2159092.96,0.0254,6681376.96
2025-03-11,MBR_001,4131361.5,2537524.28,0.0253,6604686.42
2025-03-12,MBR_001,4749261.18,2681914.04,0.0167,7386387.26
2025-03-13,MBR_001,3832530.9,2335450.98,0.029,6100253.81
2025-03-14,MBR_001,4188132.42,2902789.27,0.0254,7017190.84
2025-03-17,MBR_001,4666581.01,1861177.74,0.0129,6503749.55
2025-03-18,MBR_001,4774688.59,2389676.6,0.0123,7134972.16
2025-03-19,MBR_001,3706624.4,2009041.48,0.0328,5649769.32
2025-03-20,MBR_001,4351396.01,2312783.45,0.0146,6630412.82
2025-03-21,MBR_001,3562932.92,3053311.51,0.0275,6532278.36
2025-03-24,MBR_001,4358085.53,2752880.0,0.0271,7036362.48
2025-03-25,MBR_001,3986521.1,2547713.53,0.0426,6425702.04
2025-03-26,MBR_001,4886394.03,2254529.18,0.0301,7073061.89
2025-03-27,MBR_001,4299191.67,2742935.02,0.0414,6928569.18
2025-03-28,MBR_001,3950648.32,2828783.75,0.0267,6703903.55
2025-03-31,MBR_001,3758996.18,2389769.59,0.0399,6053413.96
2025-04-01,MBR_001,4291772.09,2431048.14,0.0109,6696321.81
2025-04-02,MBR_001,4720907.11,2493684.85,0.0224,7158733.43
2025-04-03,MBR_001,4698461.95,2304953.54,0.0419,6906837.93
2025-04-04,MBR_001,3574876.37,3034586.41,0.024,6536632.7
2025-04-07,MBR_001,4546610.52,2132232.19,0.0205,6635131.94
2025-04-08,MBR_001,4016316.32,2072649.22,0.0114,6065337.34
2025-04-09,MBR_001,4072151.18,1790071.44,0.0148,5835729.57
2025-04-10,MBR_001,4552808.42,2682545.61,0.0236,7172045.96
2025-04-11,MBR_001,3648446.37,2966528.74,0.0367,6506103.51
2025-04-14,MBR_001,3559583.68,2058334.61,0.0391,5537437.41
2025-04-15,MBR_001,3826305.06,2122351.51,0.0144,5918094.71
2025-04-16,MBR_001,4101128.02,2727135.39,0.0423,6712905.59
2025-04-17,MBR_001,4441522.5,1973178.22,0.0445,6326894.29
2025-04-18,MBR_001,3867704.94,3152843.06,0.0439,6882138.19
2025-04-21,MBR_001,3605990.19,2734743.9,0.0104,6312292.75
2025-04-22,MBR_001,3956166.65,2623347.34,0.0429,6466972.39
2025-04-23,MBR_001,4024873.01,2838746.9,0.0217,6802019.1
2025-04-24,MBR_001,4814048.95,2028065.7,0.0177,6806217.89
2025-04-25,MBR_001,3734191.6,2824866.39,0.0497,6418662.12
2025-04-28,MBR_001,4132100.01,2709605.09,0.0435,6723837.28
2025-04-29,MBR_001,4935263.12,2022779.55,0.0433,6870456.31
2025-04-30,MBR_001,3595888.98,2481883.23,0.0411,5975766.81
2025-05-01,MBR_001,4557353.59,2105369.23,0.0336,6591982.42
2025-05-02,MBR_001,3680472.08,1965665.24,0.0227,5601516.71
2025-05-05,MBR_001,3543796.82,3120164.84,0.0427,6530730.62
2025-05-06,MBR_001,3980118.89,3045819.19,0.0317,6929385.61
2025-05-07,MBR_001,3645612.81,2330112.55,0.0247,5918171.59
2025-05-08,MBR_001,4484591.97,3032242.94,0.0331,7416467.67
2025-05-09,MBR_001,4340904.06,1904169.07,0.0106,6224888.94
2025-05-12,MBR_001,3995311.27,1797517.87,0.0251,5747711.44
2025-05-13,MBR_001,3953497.34,2427712.31,0.0169,6340181.32
2025-05-14,MBR_001,4016026.57,1833936.42,0.0113,5829239.5
2025-05-15,MBR_001,4525358.09,2150804.79,0.0169,6639814.28
2025-05-16,MBR_001,4017835.9,3053802.42,0.0178,7017280.64
2025-05-19,MBR_001,4103773.71,2195153.33,0.0175,6260511.86
2025-05-20,MBR_001,4684785.43,2141478.82,0.0249,6772941.42
2025-05-21,MBR_001,4653225.04,2797206.5,0.0151,7408193.72
2025-05-22,MBR_001,4573475.99,3180385.84,0.0203,7689300.0
2025-05-23,MBR_001,3690777.77,1981792.46,0.0176,5637690.69
2025-05-26,MBR_001,4763076.22,2575589.35,0.0126,7306213.14
2025-05-27,MBR_001,3621702.41,2857313.13,0.0468,6345293.29
2025-05-28,MBR_001,4591377.48,1981573.04,0.0353,6503000.99
2025-05-29,MBR_001,4759533.29,3024238.3,0.0387,7666733.56
2025-05-30,MBR_001,4331592.17,1839362.31,0.0484,6081929.35
2025-06-02,MBR_001,4884305.76,2549258.99,0.0251,7369578.36
2025-06-03,MBR_001,4079896.72,2145470.67,0.0385,6142766.77
2025-06-04,MBR_001,4067291.02,1956345.15,0.0238,5977075.16
2025-06-05,MBR_001,4424708.33,2883046.23,0.0263,7231930.44
2025-06-06,MBR_001,4189825.09,2605179.46,0.0199,6743161.48
2025-06-09,MBR_001,4398193.54,2128396.07,0.0364,6449115.99
2025-06-10,MBR_001,4687399.77,2246935.23,0.0466,6829627.81
2025-06-11,MBR_001,4927760.34,2642023.11,0.0126,7536493.96
2025-06-12,MBR_001,4177433.55,2349772.85,0.0309,6454598.43
2025-06-13,MBR_001,3827567.89,3010676.06,0.0152,6792481.68
2025-06-16,MBR_001,4301128.15,2913748.31,0.0187,7160389.37
2025-06-17,MBR_001,3954433.58,2739640.93,0.0271,6619830.24
2025-06-18,MBR_001,4446839.01,2255549.97,0.0472,6595927.01
2025-06-19,MBR_001,4865386.97,2069283.65,0.0335,6865349.61
2025-06-20,MBR_001,4502088.16,1915147.57,0.026,6367441.9
2025-06-23,MBR_001,4849639.79,2693116.32,0.0325,7455229.82
2025-06-24,MBR_001,4699678.94,2223603.77,0.0402,6833893.83
2025-06-25,MBR_001,3876841.03,2431456.35,0.0473,6193289.5
